id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1289924024793886721,1289842950139043841,1596376827000,2020-08-02,17:00:27,???? º?? ???????,1261827943292006400,tabbytrippin,tabby_trippin,,Pelosi denied covid-19 relief to those on unemployment and ended the relief program altogether while millions haven't even seen a claim file.,['lizmoblubuckeye'],[],[],0,0,0,[],[],https://twitter.com/TabbyTrippin/status/1289924024793886721,False,,0,,,,,,,"[{'user_id': '1261827943292006400', 'username': 'TabbyTrippin'}, {'user_id': '1047887297528705024', 'username': 'lizmoblubuckeye'}]",,,,
1289924024345141249,1289924024345141249,1596376827000,2020-08-02,17:00:27,???? º?? ???????,29394848,jayyyyyce,Jayce,,"Unfortunately, we have corporations telling us to come back to work while we wait. If we end up having COVID-19, we should’ve been social distancing and wearing masks, so no one else should be affected. 🤷🏾‍♀️  https://twitter.com/vornietom/status/1289794944006156288 …",[],['https://twitter.com/vornietom/status/1289794944006156288'],[],0,0,0,[],[],https://twitter.com/jayyyyyce/status/1289924024345141249,False,https://twitter.com/vornietom/status/1289794944006156288,0,,,,,,,"[{'user_id': '29394848', 'username': 'jayyyyyce'}]",,,,
1289924023858552833,1289924023858552833,1596376827000,2020-08-02,17:00:27,???? º?? ???????,17235069,dmn_cowboys,SportsDay Cowboys,,#Cowboys reserve cornerback Saivion Smith diagnosed with COVID-19 | @GehlkenNFL https://buff.ly/2D9h1W8 ,['gehlkennfl'],['https://buff.ly/2D9h1W8'],[],0,0,0,['#cowboys'],[],https://twitter.com/dmn_cowboys/status/1289924023858552833,False,,0,,,,,,,"[{'user_id': '17235069', 'username': 'dmn_cowboys'}, {'user_id': '120019718', 'username': 'GehlkenNFL'}]",,,,
1289924022549934081,1289924022549934081,1596376827000,2020-08-02,17:00:27,???? º?? ???????,784959290905923584,trollerbabua,Kisslay Jha🇮🇳,,#AmitShah after recovering from COVID-19  pic.twitter.com/1QkjUlcouC,[],[],['https://pbs.twimg.com/media/Eea7DWuU0AAXQh_.jpg'],0,0,0,['#amitshah'],[],https://twitter.com/TrollerBabua/status/1289924022549934081,False,,0,,,,,,,"[{'user_id': '784959290905923584', 'username': 'TrollerBabua'}]",,,,
1289924021757173763,1289924021757173763,1596376827000,2020-08-02,17:00:27,???? º?? ???????,17613674,localnews8,Local News 8,,COVID-19 SAFETY KITS: These triplets are making homemade safety kits to make sure people in their community have essential items during the pandemic.  pic.twitter.com/JLtABQAika,[],[],[],0,0,0,[],[],https://twitter.com/localnews8/status/1289924021757173763,False,,1,,,,,,,"[{'user_id': '17613674', 'username': 'localnews8'}]",,,,
1289924021350350848,1289924021350350848,1596376826000,2020-08-02,17:00:26,???? º?? ???????,785263274992529408,mediccgail,GailReedMEDICC,,"#COVID19 #Cuba: Gradually re-opening. 188 active cases, 187 stable,1 critical. Total cases 2646 (+13 yesterday,10 asymptomatic); 2369 recovered (+2); 87 deaths (+0) ;507 in isolation;4850 followed in primary care. Recent “spikes”= closed-door parties. Increased testing >3K daily. pic.twitter.com/dWSkx4btTL",[],[],"['https://pbs.twimg.com/media/Eea60xhXYAMB-9A.jpg', 'https://pbs.twimg.com/media/Eea65l3WoAA2QBX.jpg', 'https://pbs.twimg.com/media/Eea68pUXYAAQm73.jpg']",0,0,0,"['#covid19', '#cuba']",[],https://twitter.com/MediccGail/status/1289924021350350848,False,,0,,,,,,,"[{'user_id': '785263274992529408', 'username': 'MediccGail'}]",,,,
1289931245606981633,1289931245606981633,1596378549000,2020-08-02,17:29:09,???? º?? ???????,1626883759,iammikejv,Michael,,"In case you were wondering what Trump is doing today... 

He's playing with his little white balls at his golf club.

This is Trump's 284th golf trip as your President...

#COVID19 death toll - 157,934

You're fucking useless @realDonaldTrump. https://www.theguardian.com/us-news/2020/aug/01/trump-golfs-covid-19-unemployment …",['realdonaldtrump'],['https://www.theguardian.com/us-news/2020/aug/01/trump-golfs-covid-19-unemployment'],[],0,0,0,['#covid19'],[],https://twitter.com/iammikejv/status/1289931245606981633,False,,0,,,,,,,"[{'user_id': '1626883759', 'username': 'iammikejv'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}]",,,,
1289931244474494977,1289931244474494977,1596378549000,2020-08-02,17:29:09,???? º?? ???????,514366972,lovequilla,âquillâãā. 🥀,,I tested NEGATIVE for COVID-19 🙌🏽,[],[],[],0,0,0,[],[],https://twitter.com/LoveQuilla/status/1289931244474494977,False,,0,,,,,,,"[{'user_id': '514366972', 'username': 'LoveQuilla'}]",,,,
1289931244113805312,1289931244113805312,1596378549000,2020-08-02,17:29:09,???? º?? ???????,1276919990508089344,shubham69538118,Shubham Gupta,,"#cancelcompartment @DrRPNishank @cbseindia29 @nidhiindiatv
This is humble request to honourable Hrd minister and cbse director ....Please cancel compartment ...The covid 19 is increase day by day ...60k case daily ....So don't play with students life ...Cancel compartment now","['drrpnishank', 'cbseindia29', 'nidhiindiatv']",[],[],0,0,0,['#cancelcompartment'],[],https://twitter.com/Shubham69538118/status/1289931244113805312,False,,0,,,,,,,"[{'user_id': '1276919990508089344', 'username': 'Shubham69538118'}, {'user_id': '2617066206', 'username': 'DrRPNishank'}, {'user_id': '961555475186688000', 'username': 'cbseindia29'}, {'user_id': '3254732294', 'username': 'nidhiindiatv'}]",,,,
1289931239219052545,1289931239219052545,1596378547000,2020-08-02,17:29:07,???? º?? ???????,1061298730391891968,in_dinx,Dinx.in,,Deborah Birx warns Covid-19 now 'extraordinarily widespread' in US – live  http://dinowap.in/deborah-birx-warns-covid-19-now-extraordinarily-widespread-in-us-live/ …,[],['http://dinowap.in/deborah-birx-warns-covid-19-now-extraordinarily-widespread-in-us-live/'],[],0,0,0,[],[],https://twitter.com/in_dinx/status/1289931239219052545,False,,0,,,,,,,"[{'user_id': '1061298730391891968', 'username': 'in_dinx'}]",,,,
